symptom,cnt,cluster
full sensorium,17,290
sensorium full,1,290
blurred vision,16,290
clouding sensorium,63,290
sense of foreshortened future,188958,290
oriented,74,291
not oriented to place,80,291
not oriented to time,65,291
oriented to purpose,18,291
not oriented to purpose,67,291
not oriented to situation,18,291
place self others in dangerous situations due to aod,79286,291
oriented to place,20,291
often argues with adults,306979,292
often loses things necessary for tasks activities,326166,292
often has difficulty playing or engaging in leisure activities quietly,304160,292
often actively defies requests rules,302953,292
often angry and resentful,253887,292
often loses temper,309276,292
often runs about or climbs excessively in inappropriate situations,291169,292
need to tell  ask  or confess,210,293
need to gamble with increasing amounts of money,2555,293
recognizes fear is excessive,28804,293
need to touch  tap  or rub,594,293
need for attention,675,293
need for admiration,5848,293
get up and go,628,293
need more aod to get the same high,79284,293
tolerance   need for increasing amount,770279,293
nocturnal enuresis,18474,294
pronominal inversions,280,294
irregular menses,195,294
diurnal enuresis,4803,294
hypersomnia,29013,294
insomnia or hypersomnia,1199039,294
in postmenarcheal females amenorrhea       cycles ,1507,294
nocturnal suffocation,4333,294
amenorrhea       cycles ,391,294
metabolic acidosis,856,294
insomnia,590387,294
nocturnal gasps,1957,294
metabolic alkalosis,1134,294
amenorrhea,2,294
desire for games stereotypical of other sex,506,295
belief that born the wrong sex,2538,295
frequent passing as the other sex,1088,295
unprotected sex,32,295
desire to live or be treated as the other sex,2303,295
preference for cross sex roles,400,295
unprotected sex,5155,295
stated desire to be other sex,21,295
unprotected sex,12,295
pupillary dilatation,277,296
pupillary dilation,1409,296
enlarged ventricles,990,296
cystic fibrosis,8,296
peripheral edema,1002,296
enlarged parotids glands,881,296
brain tumors,9,296
pupillary dilatation  piloerection  or sweating,2678,296
pupillary constriction,73,296
court committed to treatment,17614,297
court actions pending,36567,297
re entry court,170,297
court ordered drug testing,7190,297
red eyes,4,298
blinking or staring,186,298
eye deviation,3,298
good organizational skills,113,298
eye blinking,5959,298
good eye contact,121,298
fear,47192,299
acting out children,902,299
in children a fear of separation,49704,299
fear of dying,85334,299
discrete period of intense fear,43336,299
clumsiness  children ,1150,299
fear of losing control  or going crazy,130244,299
a fear of separation  child ,67167,299
